age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
46,admin.,single,secondary,no,1693,yes,no,cellular,20,427,1,-1,0,unknown,yes
28,self-employed,single,tertiary,no,159,no,no,cellular,14,246,2,420,2,other,yes
48,management,single,tertiary,no,430,yes,no,cellular,16,44,1,-1,0,unknown,no
37,admin.,single,secondary,no,115,no,no,cellular,4,187,1,83,9,failure,no
42,technician,married,secondary,no,370,no,no,unknown,19,302,5,-1,0,unknown,no
48,management,married,tertiary,no,1808,yes,no,cellular,26,245,1,-1,0,unknown,yes
32,management,married,tertiary,no,124,no,no,unknown,27,193,1,-1,0,unknown,no
52,management,married,secondary,no,173,no,no,unknown,23,48,5,-1,0,unknown,no
32,management,married,tertiary,no,578,no,yes,cellular,22,29,2,-1,0,unknown,no
40,management,married,tertiary,no,710,yes,no,cellular,5,266,1,298,2,failure,no
46,blue-collar,married,secondary,no,1568,yes,no,cellular,2,310,1,55,6,other,yes
52,management,married,tertiary,no,2901,no,no,cellular,17,223,2,-1,0,unknown,no
40,admin.,single,secondary,no,208,yes,yes,cellular,11,204,2,-1,0,unknown,no
32,blue-collar,married,primary,no,1287,yes,no,cellular,14,297,2,-1,0,unknown,no
30,entrepreneur,single,tertiary,no,999,no,no,cellular,22,157,3,-1,0,unknown,no
31,self-employed,single,secondary,no,1086,no,no,cellular,20,410,1,-1,0,unknown,no
42,unemployed,divorced,secondary,no,1713,yes,no,unknown,30,855,2,-1,0,unknown,yes
30,management,married,tertiary,no,4022,no,no,cellular,14,214,2,-1,0,unknown,no
30,technician,single,secondary,no,-127,no,no,cellular,7,76,3,-1,0,unknown,no
37,services,married,secondary,no,466,yes,yes,cellular,25,377,1,-1,0,unknown,yes
33,management,single,tertiary,no,373,no,yes,cellular,27,259,1,-1,0,unknown,no
50,blue-collar,married,primary,no,533,no,no,cellular,21,212,4,-1,0,unknown,no
53,services,divorced,secondary,no,0,no,no,cellular,12,80,2,-1,0,unknown,yes
50,management,married,tertiary,no,0,no,no,unknown,20,26,4,-1,0,unknown,no
27,student,single,secondary,no,1625,no,no,cellular,2,180,5,-1,0,unknown,no
32,unemployed,single,unknown,no,4,no,no,cellular,9,35,2,-1,0,unknown,no
36,management,single,tertiary,no,854,yes,yes,cellular,15,503,6,-1,0,unknown,no
47,admin.,married,secondary,no,3960,yes,no,unknown,13,110,1,-1,0,unknown,no
32,admin.,single,secondary,no,64,yes,no,cellular,21,204,3,-1,0,unknown,no
30,management,single,tertiary,no,572,no,no,cellular,17,339,3,183,2,success,yes
43,technician,married,secondary,no,-57,no,no,cellular,28,41,1,-1,0,unknown,no
30,services,single,secondary,no,190,no,no,cellular,21,312,1,-1,0,unknown,no
38,technician,divorced,tertiary,no,82,no,no,cellular,29,38,13,-1,0,unknown,no
24,management,single,tertiary,no,553,yes,no,unknown,26,249,1,-1,0,unknown,no
34,blue-collar,married,primary,no,100,yes,yes,unknown,28,74,3,-1,0,unknown,no
49,management,married,secondary,no,249,no,no,telephone,6,234,1,-1,0,unknown,yes
36,management,single,tertiary,no,0,yes,yes,cellular,7,122,5,-1,0,unknown,no
72,retired,married,primary,no,4657,no,no,cellular,22,305,3,309,5,success,yes
56,management,married,tertiary,no,3120,yes,no,cellular,7,666,2,-1,0,unknown,no
43,management,married,tertiary,no,1253,no,yes,cellular,18,52,3,-1,0,unknown,no
57,blue-collar,divorced,secondary,no,75,yes,no,cellular,8,159,1,361,2,failure,no
43,blue-collar,married,secondary,no,1437,yes,no,cellular,14,94,1,-1,0,unknown,no
27,services,single,secondary,no,955,no,no,cellular,23,206,1,-1,0,unknown,yes
32,services,married,secondary,no,1273,yes,no,cellular,16,1365,2,328,1,failure,yes
56,blue-collar,divorced,primary,no,5041,yes,no,unknown,15,158,1,-1,0,unknown,no
30,technician,single,tertiary,no,1081,no,no,cellular,6,377,2,-1,0,unknown,no
31,technician,single,secondary,no,18,no,no,unknown,31,27,1,-1,0,unknown,no
60,blue-collar,married,primary,no,5,no,no,cellular,29,533,1,92,1,success,yes
34,admin.,married,secondary,no,3185,yes,no,cellular,20,93,1,191,1,failure,no
35,blue-collar,married,secondary,no,360,yes,no,telephone,20,24,1,152,3,failure,no
27,student,single,secondary,no,538,no,no,cellular,18,170,4,197,2,success,yes
33,technician,single,tertiary,no,3773,no,no,cellular,26,124,4,-1,0,unknown,no
54,management,married,tertiary,no,8295,no,no,cellular,5,207,1,-1,0,unknown,yes
48,services,divorced,secondary,no,-276,yes,yes,cellular,13,674,1,-1,0,unknown,yes
59,self-employed,married,tertiary,no,34247,yes,no,cellular,17,66,2,-1,0,unknown,no
22,services,single,unknown,no,739,no,no,unknown,20,4,1,-1,0,unknown,no
37,technician,married,secondary,no,1707,yes,no,cellular,26,546,2,784,3,failure,yes
30,blue-collar,single,secondary,no,144,yes,no,unknown,21,202,3,-1,0,unknown,no
56,blue-collar,married,secondary,no,126,no,no,cellular,14,113,2,-1,0,unknown,no
31,management,single,tertiary,no,2734,yes,no,cellular,15,858,3,-1,0,unknown,yes
30,technician,single,secondary,no,316,yes,yes,cellular,30,130,2,2,2,other,no
45,blue-collar,married,primary,no,692,yes,yes,cellular,27,102,4,-1,0,unknown,no
30,blue-collar,single,secondary,no,3,yes,no,cellular,25,51,1,-1,0,unknown,no
40,management,married,tertiary,no,1700,yes,no,cellular,9,359,2,-1,0,unknown,no
58,blue-collar,married,secondary,no,0,no,yes,cellular,14,101,5,-1,0,unknown,no
60,services,married,tertiary,no,6557,no,no,cellular,7,214,2,-1,0,unknown,no
49,blue-collar,married,secondary,no,0,yes,no,telephone,11,52,1,-1,0,unknown,no
28,admin.,single,secondary,no,775,no,no,cellular,29,603,2,-1,0,unknown,no
57,management,divorced,tertiary,no,429,yes,no,cellular,17,245,1,-1,0,unknown,no
25,management,married,tertiary,no,103,no,no,cellular,10,52,9,-1,0,unknown,no
44,admin.,divorced,secondary,no,-88,yes,no,unknown,27,600,2,-1,0,unknown,no
28,management,single,secondary,no,1861,no,no,cellular,29,43,2,-1,0,unknown,no
28,management,single,secondary,no,292,yes,yes,telephone,5,39,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,1777,yes,no,cellular,21,796,5,154,1,failure,yes
58,housemaid,married,primary,no,4605,no,no,cellular,4,197,1,-1,0,unknown,no
44,unemployed,married,secondary,yes,-505,yes,no,unknown,3,113,11,-1,0,unknown,no
49,management,married,tertiary,no,64,no,no,unknown,11,586,1,-1,0,unknown,yes
32,blue-collar,single,secondary,no,322,yes,no,cellular,13,233,3,-1,0,unknown,no
32,blue-collar,divorced,secondary,no,880,yes,yes,unknown,4,112,1,-1,0,unknown,no
36,management,single,tertiary,no,1373,yes,no,unknown,20,144,2,-1,0,unknown,no
54,management,married,tertiary,no,588,no,no,cellular,13,327,1,-1,0,unknown,no
33,unknown,married,secondary,no,335,no,no,cellular,4,891,2,177,7,failure,yes
61,retired,married,secondary,no,280,yes,no,unknown,15,88,3,-1,0,unknown,no
30,blue-collar,married,secondary,no,136,no,no,cellular,18,101,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,3420,yes,no,cellular,12,77,1,301,2,failure,no
37,technician,single,tertiary,no,876,yes,no,unknown,23,213,4,-1,0,unknown,no
59,management,divorced,secondary,no,1175,yes,no,cellular,20,228,1,-1,0,unknown,no
48,technician,married,unknown,no,460,no,no,unknown,5,99,3,-1,0,unknown,no
36,blue-collar,single,tertiary,no,1830,no,no,cellular,15,185,5,181,6,failure,no
47,entrepreneur,divorced,tertiary,no,0,no,no,unknown,5,124,1,-1,0,unknown,no
39,blue-collar,married,primary,no,52,no,no,cellular,13,69,1,-1,0,unknown,no
42,blue-collar,married,unknown,no,452,yes,no,cellular,17,359,2,-1,0,unknown,no
33,admin.,single,tertiary,no,7608,no,no,cellular,30,238,4,-1,0,unknown,yes
39,blue-collar,married,secondary,no,11854,yes,no,cellular,15,15,9,-1,0,unknown,no
32,technician,married,tertiary,no,113,no,yes,cellular,10,68,1,-1,0,unknown,no
54,retired,married,secondary,no,529,yes,no,unknown,5,1492,1,-1,0,unknown,no
32,admin.,single,secondary,no,620,no,no,cellular,17,211,2,343,3,failure,no
31,technician,married,secondary,no,-305,no,yes,cellular,20,83,3,-1,0,unknown,no
33,management,married,tertiary,no,1514,no,no,cellular,10,447,1,728,2,failure,yes
49,entrepreneur,married,secondary,no,348,yes,no,unknown,14,139,2,-1,0,unknown,no
61,retired,married,secondary,no,243,no,no,cellular,20,194,1,-1,0,unknown,yes
29,blue-collar,married,secondary,no,1958,yes,no,cellular,18,112,4,349,1,failure,no
64,management,married,secondary,no,1646,no,no,cellular,12,68,3,-1,0,unknown,no
40,management,single,tertiary,no,1265,yes,no,unknown,7,97,1,-1,0,unknown,no
31,technician,married,tertiary,no,1503,yes,yes,cellular,8,257,2,-1,0,unknown,no
36,blue-collar,divorced,secondary,no,-11,no,no,unknown,5,152,2,-1,0,unknown,no
25,services,single,secondary,no,2,no,no,cellular,8,288,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,1777,yes,no,unknown,20,253,1,-1,0,unknown,no
38,services,single,tertiary,no,5265,no,no,cellular,4,352,1,-1,0,unknown,no
37,blue-collar,married,primary,no,2079,yes,yes,cellular,14,299,1,360,2,failure,no
32,management,single,tertiary,no,0,yes,no,cellular,30,370,3,-1,0,unknown,yes
50,admin.,married,secondary,no,2695,no,no,cellular,17,312,2,159,2,other,no
49,technician,divorced,tertiary,no,596,yes,no,telephone,15,722,1,-1,0,unknown,yes
28,entrepreneur,married,secondary,no,422,yes,no,unknown,19,394,2,-1,0,unknown,no
39,technician,married,secondary,no,27,yes,no,cellular,11,147,3,342,4,failure,no
36,admin.,single,secondary,no,60,yes,no,cellular,23,156,2,-1,0,unknown,yes
56,blue-collar,single,secondary,no,1187,yes,no,cellular,5,47,2,-1,0,unknown,no
48,management,single,tertiary,no,334,yes,no,cellular,28,600,2,92,12,success,yes
29,management,single,tertiary,no,0,yes,no,unknown,23,331,2,-1,0,unknown,no
28,services,single,secondary,no,339,no,no,cellular,3,350,1,182,1,success,yes
34,admin.,married,secondary,no,247,no,no,cellular,8,401,2,-1,0,unknown,yes
50,blue-collar,married,unknown,no,1389,yes,no,cellular,17,300,3,302,3,failure,no
39,services,married,primary,no,1951,yes,no,unknown,23,208,2,-1,0,unknown,no
58,self-employed,married,secondary,no,372,no,no,unknown,17,315,2,-1,0,unknown,no
86,retired,married,primary,no,5236,no,no,telephone,1,558,2,-1,0,unknown,yes
32,services,married,secondary,no,-489,yes,yes,cellular,18,93,1,180,3,failure,no
38,admin.,married,secondary,no,47,yes,no,cellular,4,288,5,-1,0,unknown,yes
27,management,single,tertiary,no,2648,no,no,cellular,5,917,1,-1,0,unknown,yes
38,blue-collar,married,primary,no,-326,yes,no,unknown,16,237,3,-1,0,unknown,no
36,blue-collar,married,secondary,no,55,yes,no,cellular,8,323,1,-1,0,unknown,no
43,technician,single,secondary,no,54,yes,no,cellular,30,62,2,-1,0,unknown,no
30,management,single,tertiary,no,0,no,no,cellular,6,108,4,-1,0,unknown,no
57,admin.,married,secondary,no,169,no,no,cellular,30,319,1,86,1,success,no
45,services,divorced,secondary,no,88,no,yes,cellular,7,332,1,-1,0,unknown,no
27,admin.,single,tertiary,no,1996,yes,no,unknown,23,187,1,-1,0,unknown,no
37,management,married,primary,no,22856,no,no,cellular,2,154,1,388,1,failure,no
25,blue-collar,single,primary,no,52,yes,no,unknown,24,528,2,-1,0,unknown,yes
25,admin.,single,secondary,no,1871,no,no,cellular,8,260,1,96,1,success,yes
41,blue-collar,married,secondary,no,780,yes,no,cellular,15,432,3,-1,0,unknown,no
38,unemployed,single,tertiary,no,560,no,no,cellular,29,316,1,-1,0,unknown,no
48,blue-collar,married,primary,no,0,no,yes,cellular,17,479,1,-1,0,unknown,no
57,retired,married,tertiary,no,0,no,no,cellular,28,141,3,-1,0,unknown,no
38,admin.,divorced,secondary,no,19,yes,no,cellular,5,1130,3,251,2,success,yes
56,blue-collar,divorced,primary,yes,-1,no,no,cellular,18,304,3,-1,0,unknown,no
59,management,married,tertiary,no,82,yes,no,cellular,17,324,4,-1,0,unknown,no
48,management,married,primary,no,312,no,no,cellular,29,1186,4,-1,0,unknown,no
36,management,married,tertiary,no,4069,no,no,cellular,21,517,1,-1,0,unknown,yes
32,blue-collar,married,primary,no,-454,yes,yes,cellular,18,801,5,355,2,failure,yes
30,admin.,single,secondary,no,270,no,no,cellular,30,437,1,80,1,success,yes
59,retired,married,secondary,no,-48,yes,no,unknown,27,224,1,-1,0,unknown,no
37,management,married,tertiary,no,238,no,no,cellular,3,149,1,-1,0,unknown,yes
42,management,divorced,secondary,no,284,no,no,cellular,25,1173,4,-1,0,unknown,no
28,services,single,secondary,no,221,yes,no,cellular,15,256,1,-1,0,unknown,no
57,management,divorced,unknown,no,2986,no,no,cellular,17,222,2,231,1,failure,yes
35,management,single,tertiary,no,657,yes,no,cellular,23,547,2,-1,0,unknown,no
39,technician,married,secondary,no,27,yes,no,cellular,11,147,3,342,4,failure,no
36,admin.,single,secondary,no,60,yes,no,cellular,23,156,2,-1,0,unknown,yes
56,blue-collar,single,secondary,no,1187,yes,no,cellular,5,47,2,-1,0,unknown,no
48,management,single,tertiary,no,334,yes,no,cellular,28,600,2,92,12,success,yes
29,management,single,tertiary,no,0,yes,no,unknown,23,331,2,-1,0,unknown,no
28,services,single,secondary,no,339,no,no,cellular,3,350,1,182,1,success,yes
34,admin.,married,secondary,no,247,no,no,cellular,8,401,2,-1,0,unknown,yes
50,blue-collar,married,unknown,no,1389,yes,no,cellular,17,300,3,302,3,failure,no
39,services,married,primary,no,1951,yes,no,unknown,23,208,2,-1,0,unknown,no
58,self-employed,married,secondary,no,372,no,no,unknown,17,315,2,-1,0,unknown,no
86,retired,married,primary,no,5236,no,no,telephone,1,558,2,-1,0,unknown,yes
32,services,married,secondary,no,-489,yes,yes,cellular,18,93,1,180,3,failure,no
38,admin.,married,secondary,no,47,yes,no,cellular,4,288,5,-1,0,unknown,yes
27,management,single,tertiary,no,2648,no,no,cellular,5,917,1,-1,0,unknown,yes
38,blue-collar,married,primary,no,-326,yes,no,unknown,16,237,3,-1,0,unknown,no
36,blue-collar,married,secondary,no,55,yes,no,cellular,8,323,1,-1,0,unknown,no
43,technician,single,secondary,no,54,yes,no,cellular,30,62,2,-1,0,unknown,no
30,management,single,tertiary,no,0,no,no,cellular,6,108,4,-1,0,unknown,no
57,admin.,married,secondary,no,169,no,no,cellular,30,319,1,86,1,success,no
45,services,divorced,secondary,no,88,no,yes,cellular,7,332,1,-1,0,unknown,no
27,admin.,single,tertiary,no,1996,yes,no,unknown,23,187,1,-1,0,unknown,no
37,management,married,primary,no,22856,no,no,cellular,2,154,1,388,1,failure,no
25,blue-collar,single,primary,no,52,yes,no,unknown,24,528,2,-1,0,unknown,yes
25,admin.,single,secondary,no,1871,no,no,cellular,8,260,1,96,1,success,yes
41,blue-collar,married,secondary,no,780,yes,no,cellular,15,432,3,-1,0,unknown,no
38,unemployed,single,tertiary,no,560,no,no,cellular,29,316,1,-1,0,unknown,no
48,blue-collar,married,primary,no,0,no,yes,cellular,17,479,1,-1,0,unknown,no
57,retired,married,tertiary,no,0,no,no,cellular,28,141,3,-1,0,unknown,no
38,admin.,divorced,secondary,no,19,yes,no,cellular,5,1130,3,251,2,success,yes
56,blue-collar,divorced,primary,yes,-1,no,no,cellular,18,304,3,-1,0,unknown,no
59,management,married,tertiary,no,82,yes,no,cellular,17,324,4,-1,0,unknown,no
48,management,married,primary,no,312,no,no,cellular,29,1186,4,-1,0,unknown,no
36,management,married,tertiary,no,4069,no,no,cellular,21,517,1,-1,0,unknown,yes
32,blue-collar,married,primary,no,-454,yes,yes,cellular,18,801,5,355,2,failure,yes
30,admin.,single,secondary,no,270,no,no,cellular,30,437,1,80,1,success,yes
59,retired,married,secondary,no,-48,yes,no,unknown,27,224,1,-1,0,unknown,no
37,management,married,tertiary,no,238,no,no,cellular,3,149,1,-1,0,unknown,yes
42,management,divorced,secondary,no,284,no,no,cellular,25,1173,4,-1,0,unknown,no
28,services,single,secondary,no,221,yes,no,cellular,15,256,1,-1,0,unknown,no
57,management,divorced,unknown,no,2986,no,no,cellular,17,222,2,231,1,failure,yes
35,management,single,tertiary,no,657,yes,no,cellular,23,547,2,-1,0,unknown,no
29,technician,single,tertiary,no,48,yes,no,cellular,23,164,1,-1,0,unknown,no
30,admin.,single,secondary,no,1450,yes,no,cellular,18,298,1,355,1,failure,no
43,unemployed,married,tertiary,no,0,no,no,cellular,18,464,1,94,2,success,yes
33,housemaid,married,secondary,no,0,yes,yes,cellular,23,85,13,-1,0,unknown,no
34,self-employed,married,secondary,no,-56,yes,no,unknown,19,248,3,-1,0,unknown,no
49,management,married,tertiary,no,271,yes,no,cellular,5,18,6,-1,0,unknown,no
30,blue-collar,single,tertiary,no,297,no,no,cellular,7,465,4,-1,0,unknown,yes
41,admin.,divorced,secondary,no,220,yes,no,cellular,14,142,2,88,2,failure,no
52,admin.,married,secondary,no,1228,yes,yes,cellular,4,218,1,-1,0,unknown,yes
39,admin.,married,tertiary,no,1108,no,no,cellular,21,204,1,-1,0,unknown,yes
20,student,single,secondary,no,215,no,no,cellular,21,228,4,183,1,other,yes
33,technician,married,secondary,no,303,yes,no,cellular,3,355,1,301,5,success,yes
51,entrepreneur,married,primary,no,805,yes,no,cellular,8,132,4,-1,0,unknown,no
41,blue-collar,married,primary,no,492,yes,yes,unknown,16,157,29,-1,0,unknown,no
40,blue-collar,married,secondary,no,679,yes,no,cellular,17,642,2,304,1,failure,no
31,technician,single,tertiary,no,244,no,no,cellular,25,170,4,-1,0,unknown,no
36,services,married,secondary,no,247,yes,no,unknown,26,247,1,-1,0,unknown,no
27,technician,single,tertiary,no,1075,no,no,cellular,2,529,2,184,1,success,yes
30,services,married,secondary,no,271,yes,no,unknown,15,365,1,-1,0,unknown,no
31,technician,married,tertiary,no,26,no,yes,cellular,18,419,1,127,6,other,yes
45,admin.,single,secondary,no,-198,yes,no,unknown,19,130,25,-1,0,unknown,no
55,management,married,unknown,no,1504,yes,no,cellular,22,338,2,-1,0,unknown,yes
39,blue-collar,married,primary,no,279,yes,no,unknown,5,361,1,-1,0,unknown,no
44,technician,married,primary,no,4389,no,no,cellular,29,33,1,-1,0,unknown,no
61,retired,married,secondary,no,86,no,no,cellular,25,639,1,94,1,success,yes
29,blue-collar,single,secondary,no,0,yes,no,cellular,5,16,9,253,1,failure,no
42,admin.,married,unknown,no,642,yes,yes,unknown,16,509,2,-1,0,unknown,no
45,technician,divorced,secondary,no,54,no,no,cellular,29,83,3,-1,0,unknown,no
37,entrepreneur,married,tertiary,no,836,yes,no,unknown,27,129,2,-1,0,unknown,no
30,entrepreneur,single,secondary,no,638,no,no,cellular,14,358,6,-1,0,unknown,no
44,admin.,divorced,secondary,no,49,yes,no,cellular,6,155,2,-1,0,unknown,no
42,services,divorced,secondary,no,444,no,no,cellular,21,171,1,-1,0,unknown,no
59,retired,divorced,secondary,no,514,no,no,cellular,3,261,1,-1,0,unknown,yes
32,management,married,tertiary,no,1969,no,no,cellular,18,271,8,-1,0,unknown,no
40,management,married,tertiary,no,-4,yes,no,unknown,5,2033,1,-1,0,unknown,no
37,management,married,tertiary,no,1852,no,no,cellular,13,117,2,370,1,failure,no
57,retired,married,secondary,no,2714,no,no,cellular,12,106,2,-1,0,unknown,no
60,admin.,married,secondary,no,3043,no,no,cellular,19,235,3,-1,0,unknown,no
38,technician,married,primary,no,217,yes,no,unknown,9,491,6,-1,0,unknown,yes
46,admin.,divorced,secondary,no,2515,yes,yes,unknown,15,65,1,-1,0,unknown,no
67,management,married,secondary,no,3240,no,no,cellular,20,129,1,-1,0,unknown,no
52,retired,divorced,tertiary,no,3687,yes,yes,unknown,16,741,4,-1,0,unknown,yes
37,admin.,married,secondary,no,-426,yes,yes,cellular,31,56,30,-1,0,unknown,no
50,blue-collar,married,secondary,no,26,yes,no,cellular,7,245,5,366,2,failure,no
35,blue-collar,married,secondary,no,1993,yes,no,cellular,8,462,2,-1,0,unknown,no
30,student,single,tertiary,no,31,yes,no,cellular,14,23,1,-1,0,unknown,no
57,retired,married,secondary,no,209,no,no,cellular,14,56,4,-1,0,unknown,no
43,blue-collar,married,primary,no,720,no,no,unknown,25,168,8,-1,0,unknown,no
34,management,married,tertiary,no,1778,no,no,cellular,4,358,1,162,2,failure,yes
38,blue-collar,divorced,secondary,no,0,yes,no,cellular,19,230,1,-1,0,unknown,no
43,services,married,secondary,no,978,yes,yes,unknown,26,82,2,-1,0,unknown,no
34,blue-collar,married,primary,no,425,yes,no,cellular,16,1389,7,-1,0,unknown,no
30,technician,single,tertiary,no,2325,no,no,cellular,10,263,1,127,7,failure,yes
32,management,married,tertiary,no,644,yes,yes,unknown,8,477,2,-1,0,unknown,no
46,blue-collar,married,primary,no,476,yes,no,unknown,30,311,4,-1,0,unknown,no
37,management,married,tertiary,no,0,no,no,unknown,16,637,6,-1,0,unknown,yes
22,student,single,secondary,no,47,no,no,cellular,14,236,2,-1,0,unknown,no
55,technician,divorced,tertiary,no,2848,yes,yes,cellular,11,121,2,-1,0,unknown,no
32,entrepreneur,divorced,secondary,no,-934,yes,no,cellular,18,50,1,-1,0,unknown,no
39,housemaid,married,secondary,no,953,no,no,cellular,30,23,6,232,3,other,no
41,management,divorced,tertiary,no,8106,no,no,cellular,19,39,1,-1,0,unknown,no
60,retired,married,secondary,yes,15,no,no,unknown,6,80,1,-1,0,unknown,no
37,management,married,secondary,yes,33,no,yes,cellular,17,117,1,-1,0,unknown,no
39,management,married,tertiary,no,13021,no,no,cellular,5,425,2,-1,0,unknown,no
33,management,married,tertiary,no,1071,no,no,cellular,12,83,4,-1,0,unknown,no
60,retired,married,tertiary,no,0,no,no,cellular,25,101,3,-1,0,unknown,no
31,services,single,secondary,no,603,yes,yes,cellular,17,185,2,319,2,failure,no
35,technician,married,secondary,no,-499,yes,no,cellular,28,488,4,-1,0,unknown,no
41,blue-collar,divorced,primary,no,1887,no,no,unknown,12,168,2,-1,0,unknown,no
37,management,married,tertiary,no,393,yes,no,cellular,14,567,3,275,4,failure,yes
56,blue-collar,divorced,secondary,no,934,no,no,cellular,29,375,2,-1,0,unknown,no
35,management,divorced,tertiary,no,0,yes,no,telephone,29,171,1,-1,0,unknown,yes
25,services,single,secondary,no,199,no,no,cellular,16,111,2,95,3,other,no
47,unemployed,married,secondary,yes,0,no,no,cellular,18,81,2,-1,0,unknown,no
32,entrepreneur,married,secondary,no,-25,yes,no,cellular,7,243,2,-1,0,unknown,no
42,technician,single,tertiary,no,24,no,no,cellular,8,262,1,-1,0,unknown,no
38,admin.,married,tertiary,no,669,yes,yes,cellular,31,129,2,-1,0,unknown,no
33,technician,married,tertiary,no,8023,no,no,cellular,30,107,1,105,3,failure,no
53,housemaid,married,primary,no,362,no,no,cellular,28,1169,2,-1,0,unknown,yes
37,admin.,married,secondary,no,0,yes,no,unknown,20,26,6,-1,0,unknown,no
38,technician,single,secondary,no,0,yes,no,cellular,7,196,2,-1,0,unknown,no
34,management,single,tertiary,no,1336,no,no,cellular,22,217,6,-1,0,unknown,no
44,management,married,tertiary,no,756,yes,no,cellular,18,65,1,130,2,failure,no
77,retired,married,tertiary,no,0,no,no,cellular,6,190,1,-1,0,unknown,no
29,technician,single,secondary,no,113,no,no,cellular,12,328,2,183,4,success,yes
39,technician,married,secondary,no,-54,yes,yes,unknown,30,252,4,-1,0,unknown,no
54,technician,divorced,secondary,no,1663,yes,no,telephone,20,41,1,150,9,other,no
39,admin.,married,primary,no,-439,yes,no,unknown,15,347,8,-1,0,unknown,no
47,blue-collar,married,secondary,no,5041,no,no,cellular,20,184,1,-1,0,unknown,no
44,management,married,tertiary,no,254,yes,yes,cellular,11,145,2,300,3,failure,no
33,services,divorced,secondary,no,-395,yes,no,unknown,27,161,2,-1,0,unknown,no
51,blue-collar,married,primary,no,19,no,no,cellular,26,26,10,-1,0,unknown,no
33,blue-collar,married,secondary,no,2645,yes,yes,unknown,6,85,4,-1,0,unknown,no
51,entrepreneur,single,tertiary,yes,15,no,no,unknown,11,104,2,-1,0,unknown,no
45,blue-collar,married,primary,no,2523,yes,no,cellular,13,110,4,-1,0,unknown,no
46,management,married,tertiary,no,4,no,no,cellular,8,1206,4,-1,0,unknown,yes
33,self-employed,single,secondary,no,136,yes,no,cellular,18,30,2,336,13,other,no
34,blue-collar,single,secondary,no,0,yes,no,cellular,20,525,1,-1,0,unknown,no
56,management,married,tertiary,no,67,no,yes,cellular,29,88,2,-1,0,unknown,no
34,admin.,married,tertiary,no,3520,no,no,cellular,18,95,1,-1,0,unknown,no
49,retired,married,primary,no,192,no,no,cellular,10,227,1,-1,0,unknown,no
37,technician,married,tertiary,no,4596,yes,no,cellular,7,218,2,211,4,success,no
57,entrepreneur,divorced,tertiary,no,873,no,no,unknown,17,441,3,-1,0,unknown,no
53,technician,married,secondary,no,6671,yes,yes,cellular,30,72,9,-1,0,unknown,no
34,blue-collar,married,secondary,no,496,yes,no,cellular,13,333,1,-1,0,unknown,yes
36,admin.,married,secondary,no,498,yes,no,cellular,29,151,1,253,1,failure,no
32,blue-collar,married,primary,no,217,yes,no,unknown,16,169,3,-1,0,unknown,no
59,services,married,secondary,no,307,yes,yes,unknown,6,250,7,-1,0,unknown,no
39,housemaid,married,secondary,no,1372,yes,yes,cellular,5,206,1,355,1,failure,no
32,management,single,tertiary,no,0,yes,no,unknown,15,86,4,-1,0,unknown,no
40,services,single,secondary,no,19343,yes,no,unknown,26,168,4,-1,0,unknown,no
46,technician,divorced,secondary,no,164,yes,no,unknown,9,229,2,-1,0,unknown,no
